StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,QID1185,QID1186,Q11,Q32,Q13,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52_1,Q54_1,Q147_1,Q147_2,Q147_3,Q147_4,Q147_5,Q147_6,Q147_7,Q147_8,Q147_9,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,Q61_7,Q61_8,Q61_9,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Q62_6,Q62_7,Q62_8,Q62_9,Q62_10,Q62_11,Q62_12,Q62_13,Q62_14,Q62_15,Q62_16,Q62_17,Q62_18,Q62_19,Q62_20,Q62_21,Q62_22,Q62_23,Q62_24,Q62_25,Q62_26,Q62_27,Q62_28,Q62_29,Q62_30,QID1158,QID1158_4_TEXT,QID1157,QID1154,QID1155,QID1156,QID1215065339,QID1215065339_4_TEXT,QID1215065340,QID1215065341,QID1215065342,condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Do you consent to take part in the study?,"What is your Prolific ID?



Please note that this response should auto-fill with the correct ID","Here is an example of a coin toss sequence (""H"" means Heads, ""T"" means Tails). Your task is to guess the next coin outcome.

 

Again: Try to see if you can find a pattern in each sequence. Do NOT try to calculate this--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""

 

H T H H H H H H T H 

 

Based on the pattern that you see, what coin outcome would you expect next?","Here is an example of a coin toss sequence (""H"" means Heads, ""T"" means Tails). Your task is to guess the next coin outcome.

 

Again: Keep in mind, this is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails. 

 

H T H H H H H H T H 

 

Now make a guess: Which coin outcome will be next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



H T H H T T T T H H



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



H H H T T T T T H H



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



H T H H H T H T H H



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""




H T T H H T T T T T


Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



H T T H T H H H T T



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



T H H T T T H H T H



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



H T H H H T H T H T



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



T T H T T H T H H T



Based on the pattern that you see, what coin outcome would you expect next?","Remember: Do NOT try to calculate the pattern--use your intuition. Ask yourself: ""Do I see a pattern here--and based on that, what next coin outcome would make most sense?""



T T H T T T T H T T



Based on the pattern that you see, what coin outcome would you expect next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.

 

H T H H T T T T H H 

 

Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.




H H H T T T T T H H



Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.




H T H H H T H T H H



Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.





H T T H H T T T T T


Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.



H T T H T H H H T T



Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.




T H H T T T H H T H



Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.




H T H H H T H T H T



Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.




T T H T T H T H H T



Now make a guess: Which coin outcome will be next?","Remember: This is a random sequence, and regardless of the previous coin tosses, the next toss will have a 50% chance of being Heads or Tails.




T T H T T T T H T T



Now make a guess: Which coin outcome will be next?","To what extent were the coin flip sequences random, or showed a pattern? 
(1 = they were totally random, 7 = they totally showed a pattern)","Now, please indicate your current mood on this slider.



How would you describe your mood at this moment? (ranging from 0 = very negative, to 100 = very positive)",There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - The US government deliberately conceals a lot of information from the public,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - Ebola is a man-made virus,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - The US government had advance knowledge of the 9/11 attacks,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - The US government covered up crucial information in the aftermath of J. F. Kennedy’s assassination,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - The science behind global warming has been invented or distorted out of self-interest,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - Various wars in the Middle East were launched by oil companies,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - The moon landing was a hoax,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - The HIV/aids virus has been genetically engineered to wipe out certain sectors of the population,There is often debate about whether or not the public is told the whole truth about various important issues. These questions are designed to assess your beliefs about some of these subjects. Please indicate the degree to which you believe each statement is likely to be true. - Evidence of unidentified flying objects and extraterrestrial visitors is being suppressed by the government,There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - Red Bull contains illegal substances that raise the desire for the product,There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - The official inventor of Red Bull pays 10 million Euros each year to keep food controllers quiet,"There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - If a can of Red Bull is heated up to 104ºF, it releases health-threatening substances",There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - Subliminal messages in Red Bull television commercials make consumers believe that Red Bull improves one's health,"There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - The slogan ""Red Bull gives you wings"" is used because in animal experiments, rats grew rudiment wings","There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - Regular consumption of Red Bull raises dopamine levels, which causes damage in the long term","There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - In the beginning, Red Bull was illegal for minors in America, which raises questions as to its subsequent legalization",There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - Commercials in sports give the impression that Red Bull is healthy,"There is a debate about whether or not the public is told the whole truth about the healthiness of certain energy drinks. These questions are designed to assess your beliefs about Red Bull in particular. Please indicate the degree to which you believe each statement is likely to be true. - The extract ""testiculus taurus"" found in Red Bull has unknown side effects","Please, indicate the degree to which you agree with the following statements. - Some people can make me aware of them just by thinking about me","Please, indicate the degree to which you agree with the following statements. - I have had the momentary feeling that I might not be human","Please, indicate the degree to which you agree with the following statements. - I have sometimes been fearful of stepping on sidewalk cracks","Please, indicate the degree to which you agree with the following statements. - I think I could learn to read other's minds if I wanted to","Please, indicate the degree to which you agree with the following statements. - Horoscopes are right too often for it to be a coincidence","Please, indicate the degree to which you agree with the following statements. - Things sometimes seem to be in different places when I get home, even though no one has been there","Please, indicate the degree to which you agree with the following statements. - Numbers like 13 and 7 have no special powers","Please, indicate the degree to which you agree with the following statements. - I have occasionally had the silly feeling that a TV or radio broadcaster knew I was listening to them","Please, indicate the degree to which you agree with the following statements. - I have worried that people on other planets may be influencing what happens on earth","Please, indicate the degree to which you agree with the following statements. - The government refuses to tell us the truth about flying saucers","Please, indicate the degree to which you agree with the following statements. - I have felt that there were messages for me in the way things were arranged, like in a store window","Please, indicate the degree to which you agree with the following statements. - I have never doubted that my dreams are the products of my own mind","Please, indicate the degree to which you agree with the following statements. - Good luck charms don't work","Please, indicate the degree to which you agree with the following statements. - I have noticed sounds on my records that are not there at other times","Please, indicate the degree to which you agree with the following statements. - The hand motions that strangers make seem to influence me at times","Please, indicate the degree to which you agree with the following statements. - I almost never dream about things before they happen","Please, indicate the degree to which you agree with the following statements. - I have had the momentary feeling that someone's place has been taken by a look-alike","Please, indicate the degree to which you agree with the following statements. - It is not possible to harm others merely by thinking bad thoughts about them","Please, indicate the degree to which you agree with the following statements. - I have sometimes sensed an evil presence around me, although I could not see it","Please, indicate the degree to which you agree with the following statements. - I sometimes have a feeling of gaining or losing energy when certain people look at me or touch me","Please, indicate the degree to which you agree with the following statements. - I have sometimes had the passing thought that strangers are in love with me","Please, indicate the degree to which you agree with the following statements. - I have never had the feeling that certain thoughts of mine really belonged to someone else","Please, indicate the degree to which you agree with the following statements. - When introduced to strangers, I rarely wonder whether I have known them before","Please, indicate the degree to which you agree with the following statements. - If reincarnation were true, it would explain some unusual experiences I have had","Please, indicate the degree to which you agree with the following statements. - People often behave so strangely that one wonders if they are part of an experiment","Please, indicate the degree to which you agree with the following statements. - At times I perform certain little rituals to ward off negative influences","Please, indicate the degree to which you agree with the following statements. - I have felt that I might cause something to happen just by thinking too much about it","Please, indicate the degree to which you agree with the following statements. - I have wondered whether the spirits of the dead can influence the living","Please, indicate the degree to which you agree with the following statements. - At times I have felt that a professor's lecture was meant especially for me","Please, indicate the degree to which you agree with the following statements. - I have sometimes felt that strangers were reading my mind",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?,Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text",Would you call yourself a strong Republican or a not very strong Republican?,Would you call yourself a strong Democrat or a not very strong Democrat?,Do you think of yourself as closer to the Republican or Democratic party?,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID32""}","{""ImportId"":""QID13""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID56_5""}","{""ImportId"":""QID56_6""}","{""ImportId"":""QID56_7""}","{""ImportId"":""QID56_8""}","{""ImportId"":""QID56_9""}","{""ImportId"":""QID56_10""}","{""ImportId"":""QID56_11""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""QID61_6""}","{""ImportId"":""QID61_7""}","{""ImportId"":""QID61_8""}","{""ImportId"":""QID61_9""}","{""ImportId"":""QID61_10""}","{""ImportId"":""QID61_11""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID62_5""}","{""ImportId"":""QID62_6""}","{""ImportId"":""QID62_7""}","{""ImportId"":""QID62_8""}","{""ImportId"":""QID62_9""}","{""ImportId"":""QID62_10""}","{""ImportId"":""QID62_11""}","{""ImportId"":""QID62_12""}","{""ImportId"":""QID62_13""}","{""ImportId"":""QID62_14""}","{""ImportId"":""QID62_15""}","{""ImportId"":""QID62_16""}","{""ImportId"":""QID62_17""}","{""ImportId"":""QID62_18""}","{""ImportId"":""QID62_19""}","{""ImportId"":""QID62_20""}","{""ImportId"":""QID62_21""}","{""ImportId"":""QID62_22""}","{""ImportId"":""QID62_23""}","{""ImportId"":""QID62_24""}","{""ImportId"":""QID62_25""}","{""ImportId"":""QID62_26""}","{""ImportId"":""QID62_27""}","{""ImportId"":""QID62_28""}","{""ImportId"":""QID62_29""}","{""ImportId"":""QID62_30""}","{""ImportId"":""QID62_31""}","{""ImportId"":""QID62_32""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_4_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""condition""}"
2025-10-29 10:45:36,2025-10-29 10:52:14,IP Address,100,398,True,2025-10-29 10:52:14,R_1liTJPYAoikbwhU,NA,anonymous,EN,Yes,NA,Heads,NA,Heads,Heads,Tails,Heads,Heads,Tails,Tails,Tails,Heads,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,61,Probably true,Definitely not true,Probably not true,Probably true,Definitely not true,Probably true,Probably not true,Definitely not true,Probably not true,Unsure,Probably true,Unsure,Probably not true,Definitely not true,Definitely true,Probably true,Definitely not true,Unsure,Definitely not true,Definitely not true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Probably true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Probably not true,Definitely not true,Definitely not true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Probably not true,Probably not true,Definitely not true,Definitely not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2025-10-29 10:59:10,2025-10-29 11:06:17,IP Address,100,426,True,2025-10-29 11:06:17,R_1Qmr1xstM6JpSYb,NA,anonymous,EN,Yes,NA,Tails,NA,Heads,Heads,Tails,Heads,Tails,Heads,Tails,Heads,Tails,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,48,Probably true,Definitely not true,Definitely not true,Probably not true,Definitely not true,Probably not true,Definitely not true,Definitely not true,Probably not true,Probably not true,Unsure,Unsure,Unsure,Probably not true,Unsure,Unsure,Unsure,Unsure,Probably not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Definitely not true,Probably not true,Definitely not true,Definitely true,Probably true,Definitely not true,Definitely not true,Probably true,Definitely not true,Definitely true,Definitely not true,Definitely not true,Probably not true,Definitely true,Definitely true,Definitely not true,Definitely not true,Unsure,Definitely not true,Definitely not true,Definitely not true,Definitely not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2025-10-29 10:57:09,2025-10-29 11:07:04,IP Address,100,595,True,2025-10-29 11:07:04,R_64w2157Kz9bsjqa,NA,anonymous,EN,Yes,NA,Tails,NA,Tails,Heads,Tails,Heads,Heads,Tails,Heads,Heads,Heads,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,82,Probably true,Definitely not true,Unsure,Unsure,Definitely not true,Probably true,Definitely not true,Definitely not true,Definitely not true,Probably not true,Unsure,Unsure,Unsure,Definitely not true,Definitely not true,Unsure,Unsure,Unsure,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Probably not true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Probably true,Unsure,Definitely not true,Definitely not true,Definitely not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2025-10-29 10:57:37,2025-10-29 11:07:21,IP Address,100,584,True,2025-10-29 11:07:22,R_6FR4OAFpcZdyD3k,NA,anonymous,EN,Yes,Test12,NA,Tails,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heads,Heads,Heads,Heads,Heads,Heads,Heads,Heads,Tails,2,50,Definitely true,Unsure,Definitely true,Definitely true,Definitely not true,Definitely true,Unsure,Unsure,Probably true,Probably not true,Unsure,Unsure,Probably not true,Probably not true,Probably not true,Definitely true,Probably not true,Probably not true,Unsure,Probably true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Unsure,Probably not true,Definitely not true,Definitely true,Definitely not true,Definitely true,Unsure,Probably not true,Probably true,Definitely not true,Unsure,Probably not true,Probably not true,Definitely not true,Probably true,Probably not true,Unsure,Probably true,Unsure,Probably true,Definitely true,Unsure,Probably not true,Probably not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
2025-10-29 11:01:57,2025-10-29 11:17:37,IP Address,100,940,True,2025-10-29 11:17:38,R_3SeQxLORbYzjQN4,NA,anonymous,EN,Yes,NA,NA,Heads,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tails,Tails,Heads,Heads,Heads,Heads,Tails,Tails,Heads,5,42,Probably true,Definitely not true,Probably not true,Probably true,Definitely not true,Definitely true,Definitely not true,Unsure,Probably not true,Unsure,Probably not true,Probably true,Unsure,Definitely not true,Probably true,Probably true,Probably true,Probably true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Definitely not true,Unsure,Definitely not true,Probably true,Definitely true,Definitely not true,Probably not true,Unsure,Definitely not true,Probably true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely true,Definitely not true,Definitely not true,Unsure,Definitely not true,Definitely not true,Definitely not true,Definitely not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
2025-10-29 11:08:35,2025-10-29 11:21:29,IP Address,100,774,True,2025-10-29 11:21:29,R_7kL1ACZPfz9rbcs,NA,anonymous,EN,Yes,NA,NA,Tails,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heads,Tails,Heads,Heads,Heads,Heads,Tails,Tails,Heads,3,80,Definitely true,Probably not true,Probably not true,Probably true,Definitely not true,Unsure,Definitely not true,Definitely not true,Probably true,Unsure,Unsure,Probably not true,Probably true,Definitely not true,Unsure,Probably true,Probably true,Unsure,Unsure,Probably true,Definitely not true,Probably not true,Probably true,Probably true,Probably true,Unsure,Unsure,Probably true,Probably true,Probably true,Probably not true,Unsure,Probably true,Probably not true,Probably not true,Probably true,Unsure,Probably true,Definitely true,Unsure,Unsure,Probably true,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
2025-10-29 11:22:02,2025-10-29 11:28:16,IP Address,100,374,True,2025-10-29 11:28:16,R_3AFX4LwXrljWHIZ,NA,anonymous,EN,Yes,NA,Heads,NA,Tails,Heads,Heads,Tails,Heads,Heads,Heads,Tails,Heads,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,72,Probably true,Definitely not true,Definitely not true,Probably not true,Definitely not true,Unsure,Definitely not true,Definitely not true,Probably not true,Unsure,Unsure,Probably not true,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Definitely not true,Definitely not true,Unsure,Definitely not true,Unsure,Definitely not true,Definitely true,Definitely not true,Definitely not true,Unsure,Probably true,Probably true,Unsure,Definitely not true,Definitely not true,Unsure,Definitely not true,Definitely true,Definitely not true,Definitely not true,Definitely not true,Probably true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Probably true,Unsure,Probably true,Definitely not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2025-10-29 11:15:51,2025-10-29 11:31:56,IP Address,100,965,True,2025-10-29 11:31:57,R_7mOfv2ExW0w7sCB,NA,anonymous,EN,Yes,asdf,Heads,NA,Tails,Heads,Heads,Heads,Tails,Tails,Heads,Tails,Heads,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63,Probably true,Definitely not true,Probably not true,Probably not true,Definitely not true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Probably not true,Unsure,Probably true,Definitely not true,Unsure,Definitely not true,Probably true,Definitely true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Definitely not true,Definitely not true,Definitely not true,Definitely true,Definitely true,Definitely not true,Definitely not true,Definitely true,Definitely not true,Definitely true,Probably not true,Definitely not true,Definitely not true,Definitely not true,Unsure,Definitely not true,Definitely not true,Definitely not true,Probably not true,Definitely not true,Definitely not true,Definitely not true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
